date,n,auc,auc_lo,auc_hi,calib_err
2019-02-21,150,0.6134219554030875,,,0.15999999999999998
2019-02-27,150,0.6134219554030875,,,0.15999999999999998
2019-03-04,150,0.6158730158730159,,,0.16000000000000003
2019-03-06,150,0.607232441471572,,,0.15333333333333338
2019-03-07,150,0.607232441471572,,,0.15333333333333338
2019-03-20,150,0.607232441471572,,,0.15333333333333338
2019-03-22,150,0.5988432142119396,,,0.14666666666666667
2019-03-25,150,0.607232441471572,,,0.15333333333333338
2019-03-27,150,0.607232441471572,,,0.15333333333333338
2019-04-11,150,0.607232441471572,,,0.15333333333333338
2019-04-15,150,0.607232441471572,,,0.15333333333333338
2019-04-17,150,0.5988432142119396,,,0.14666666666666667
2019-04-18,150,0.607232441471572,,,0.15333333333333338
2019-04-25,150,0.607232441471572,,,0.15333333333333338
2019-04-26,150,0.6047619047619047,,,0.15333333333333332
2019-05-02,150,0.6095238095238096,,,0.14666666666666667
2019-05-09,150,0.6168478260869565,,,0.14
2019-05-10,150,0.6095238095238096,,,0.14666666666666667
2019-05-13,150,0.6095238095238096,,,0.14666666666666667
2019-05-23,150,0.6095238095238096,,,0.14666666666666667
2019-06-03,150,0.6095238095238096,,,0.14666666666666667
2019-06-14,150,0.6142857142857143,,,0.14
2019-07-05,150,0.6190476190476191,,,0.13333333333333336
2019-07-17,150,0.6079365079365079,,,0.1266666666666667
2019-07-25,150,0.6126984126984127,,,0.12
2019-07-29,150,0.6126984126984127,,,0.12
2019-07-31,150,0.6047240802675585,,,0.11333333333333334
2019-08-01,150,0.5969840941954142,,,0.10666666666666663
2019-08-02,150,0.6076223920677546,,,0.11333333333333334
2019-08-05,150,0.6102941176470589,,,0.11333333333333334
2019-08-07,150,0.6053921568627451,,,0.12
2019-08-09,150,0.6085519520760173,,,0.1333333333333333
2019-08-12,150,0.6085519520760173,,,0.1333333333333333
2019-08-14,150,0.6158088235294118,,,0.12666666666666665
2019-08-22,150,0.6109068627450981,,,0.1333333333333333
2019-08-23,150,0.6130531420488987,,,0.13333333333333336
2019-09-18,150,0.6130531420488987,,,0.13333333333333336
