# roll: mapping=OpenInterest normalization=BackwardsRatio depth=0
# source: QuantConnect native continuous futures
# markets: CL,NG,GC,HG,ZC,ZS,ZW
# vol_windows_days: 20,60,120
# rows: 207  span: 2009-06-30 .. 2026-08-31
time,CL_close,CL_v20,CL_v60,CL_v120,NG_close,NG_v20,NG_v60,NG_v120,GC_close,GC_v20,GC_v60,GC_v120,HG_close,HG_v20,HG_v60,HG_v120,ZC_close,ZC_v20,ZC_v60,ZC_v120,ZS_close,ZS_v20,ZS_v60,ZS_v120,ZW_close,ZW_v20,ZW_v60,ZW_v120
2017-07-31,46.998057,0.297072,0.289554,0.259515,47.440760,0.334183,0.322820,0.324978,1683.795563,0.106323,0.103185,0.103123,3.447368,0.161429,0.146363,0.192701,5.192295,0.295101,0.236838,0.203227,9.552392,0.254006,0.192359,0.161252,11.655456,0.362014,0.317615,0.277519
2017-08-31,44.004557,0.282291,0.278870,0.268770,50.695507,0.243670,0.289067,0.289707,1751.238685,0.105871,0.097654,0.103759,3.673894,0.168392,0.158643,0.174362,4.808926,0.215741,0.245488,0.213161,8.973890,0.153960,0.204079,0.169656,10.029241,0.216391,0.327028,0.278209
2017-09-30,47.772484,0.202532,0.263503,0.271026,49.555145,0.295764,0.276804,0.288428,1698.154800,0.126426,0.107019,0.109863,3.488007,0.184380,0.172426,0.178197,4.792111,0.131590,0.220286,0.212586,9.177789,0.145363,0.197154,0.174486,10.375874,0.177251,0.231127,0.281097
2017-10-31,50.252316,0.210781,0.239148,0.265786,45.271736,0.237426,0.266267,0.285283,1673.557976,0.088470,0.109466,0.106193,3.676422,0.203006,0.187068,0.165603,4.647507,0.120931,0.158484,0.201849,9.242172,0.127478,0.140859,0.176910,9.694163,0.174956,0.190283,0.265052
2017-11-30,52.596956,0.224583,0.210851,0.249735,45.635285,0.394275,0.309655,0.302039,1676.847718,0.106051,0.105281,0.101756,3.595498,0.187389,0.191125,0.173324,4.614966,0.121041,0.146908,0.197152,9.253904,0.129527,0.128958,0.171260,9.620852,0.152017,0.168283,0.261673
2017-12-31,55.032688,0.186157,0.204801,0.232755,44.312897,0.449942,0.364925,0.318935,1713.995566,0.085737,0.092886,0.099605,3.854700,0.200084,0.197169,0.184106,4.553347,0.089044,,,8.930437,0.109043,0.122201,0.157584,9.493092,0.137170,,
2018-01-31,59.430646,0.204471,0.202041,0.220065,45.167927,0.467598,0.433937,0.357450,1765.608489,0.094393,0.096682,0.101261,3.744733,0.174324,0.188319,0.186582,4.689558,0.090647,,,9.248222,0.088437,0.109504,0.126294,10.031904,0.212870,,
2018-02-28,56.696924,0.284289,0.226908,0.218249,40.337207,0.316529,0.398892,0.355577,1725.447954,0.126387,0.104612,0.105058,3.629501,0.226353,0.201434,0.195630,4.847047,0.084783,0.088943,,9.687969,0.124247,0.109877,0.119416,10.663973,0.264609,0.208723,
2018-03-31,59.927053,0.247070,0.245366,0.224371,40.838338,0.203645,0.323032,0.345315,1732.771365,0.118467,0.112133,0.103146,3.511641,0.170522,0.188618,0.189149,4.929685,0.183165,0.128324,,9.589276,0.182527,0.138349,0.129633,9.781624,0.232288,0.260501,
2018-04-30,63.295869,0.241920,0.263215,0.234338,40.898314,0.179865,0.209426,0.339880,1716.538916,0.093106,0.113814,0.105512,3.541263,0.194267,0.195532,0.191233,4.989084,0.148451,0.144729,,9.524745,0.147187,0.152287,0.132190,10.709696,0.294336,0.288666,
2018-05-31,62.008412,0.245027,0.252221,0.235032,43.299148,0.175951,0.191034,0.308915,1692.931778,0.082425,0.098982,0.102154,3.535963,0.132362,0.165378,0.172430,4.898826,0.157040,0.162262,0.129010,9.261305,0.192053,0.172771,0.144651,10.992495,0.310647,0.286674,0.262261
2018-06-30,68.761636,0.315259,0.275310,0.262284,42.916252,0.202064,0.188460,0.253514,1630.273626,0.077568,0.084320,0.100436,3.409617,0.205965,0.174597,0.183550,4.354416,0.239534,0.178827,0.162329,7.785727,0.173916,0.174845,0.164636,10.210117,0.347153,0.320976,0.293482
2018-07-31,64.635061,0.266128,0.279403,0.264590,41.322295,0.154349,0.181860,0.188638,1589.848247,0.089427,0.082832,0.096058,3.240217,0.243972,0.197063,0.188427,4.530352,0.197967,0.214309,0.183140,8.150348,0.270028,0.224283,0.192417,11.277908,0.380896,0.353312,0.324093
2018-08-31,66.684490,0.222872,0.271773,0.258488,43.328712,0.156970,0.179422,0.183158,1556.890082,0.125049,0.101332,0.099671,3.029285,0.210627,0.211989,0.193756,4.292839,0.194256,0.219528,0.195373,7.506666,0.265296,0.246223,0.212803,10.696294,0.320291,0.354107,0.323751
2018-09-30,70.436675,0.219169,0.236877,0.247643,44.291938,0.297512,0.217515,0.204352,1542.379664,0.083380,0.099284,0.093043,3.188231,0.237182,0.228303,0.203962,4.181413,0.230513,0.201916,0.196192,7.495568,0.173554,0.239058,0.209879,9.991689,0.273072,0.320600,0.323141
2018-10-31,62.222736,0.264019,0.252575,0.265065,46.897592,0.310554,0.274742,0.234443,1573.102429,0.120690,0.113069,0.100162,3.018185,0.178027,0.207708,0.206361,4.260584,0.158751,0.194160,0.203869,7.438317,0.167025,0.203066,0.212621,9.810645,0.238019,0.268320,0.312705
2018-11-30,48.527992,0.466329,0.351059,0.316802,65.464749,1.106740,0.687401,0.507932,1580.863810,0.075633,0.101792,0.102769,3.158089,0.238289,0.218850,0.218570,4.290248,0.135482,0.179052,0.199281,7.803026,0.154091,0.177510,0.214382,9.918210,0.260369,0.246297,0.303050
2018-12-31,43.651153,0.584783,0.452367,0.369289,43.259427,0.652132,0.792822,0.582200,1654.626519,0.085367,0.100555,0.102796,2.989666,0.179572,0.206628,0.214946,4.261779,0.118404,,,7.698581,0.131399,0.164819,0.191647,9.677710,0.209258,,
2019-01-31,51.140891,0.303692,0.475068,0.377264,42.625700,0.539744,0.831016,0.616291,1699.833486,0.094943,0.085994,0.102721,3.164632,0.218518,0.214925,0.213686,4.281707,0.145261,,,7.885879,0.126470,0.138387,0.180183,9.937450,0.124847,,
2019-02-28,53.825374,0.238685,0.406757,0.381807,41.614433,0.319917,0.531784,0.624246,1686.695860,0.091887,0.090869,0.096249,3.350419,0.142112,0.186618,0.202596,4.122658,0.125329,0.126996,,7.714985,0.100956,0.122277,0.151819,8.813629,0.238349,0.200782,
2019-03-31,56.238899,0.146268,0.244672,0.374613,39.558838,0.199573,0.374307,0.617110,1656.033328,0.096211,0.098827,0.099644,3.331102,0.134670,0.169294,0.189257,3.972338,0.202681,0.157954,,7.494557,0.107245,0.110841,0.141559,8.823235,0.306258,0.236693,
2019-04-30,59.276663,0.215316,0.209686,0.368962,37.432433,0.200325,0.236514,0.609798,1641.080158,0.074431,0.092089,0.089655,3.300421,0.152009,0.143166,0.174362,3.943746,0.109578,0.150774,,7.134932,0.102707,0.107605,0.124107,8.179523,0.184011,0.245438,
2019-05-31,49.705735,0.342420,0.267740,0.338087,35.374810,0.265270,0.222465,0.396637,1666.741984,0.089636,0.087634,0.091572,2.990621,0.130672,0.156784,0.173357,4.644494,0.339120,0.244208,0.194095,7.335328,0.246155,0.168641,0.146374,9.623809,0.403964,0.308835,0.264418
2019-06-30,53.950229,0.338979,0.314890,0.282850,33.291848,0.306925,0.260161,0.318011,1795.932527,0.118448,0.099646,0.098476,3.081591,0.141058,0.159126,0.161691,4.592069,0.296535,0.271681,0.223202,7.508294,0.170996,0.184905,0.152034,9.973178,0.327356,0.323150,0.283967
2019-07-31,53.591729,0.259175,0.335604,0.280238,32.373211,0.378103,0.317441,0.273153,1796.949693,0.146615,0.136308,0.117282,3.019723,0.144030,0.139210,0.151787,4.355556,0.278207,0.311506,0.246738,7.152459,0.177589,0.202025,0.163202,9.224241,0.278142,0.344599,0.302385
2019-08-31,51.073432,0.322074,0.337667,0.308000,32.829170,0.251879,0.317880,0.274236,1929.334853,0.144354,0.154512,0.126435,2.877899,0.127847,0.142695,0.151483,3.922392,0.300655,0.288867,0.271786,7.056985,0.163472,0.175045,0.171230,8.714988,0.242794,0.264521,0.285767
2019-09-30,50.285451,0.567555,0.415391,0.373532,33.051936,0.374909,0.324803,0.304516,1864.854785,0.159347,0.153639,0.138056,2.901258,0.185812,0.158801,0.157486,4.113729,0.233420,0.266557,0.276954,7.347471,0.183658,0.172302,0.181876,9.362118,0.192717,0.243861,0.290494
2019-10-31,50.183425,0.232643,0.390796,0.375117,33.830448,0.322737,0.323308,0.323537,1915.730297,0.091938,0.129274,0.139485,2.975114,0.129720,0.147040,0.143622,4.142960,0.246870,0.261995,0.284836,7.459115,0.080245,0.150954,0.176778,9.612467,0.215561,0.217695,0.286995
2019-11-30,51.306629,0.321362,0.387278,0.366170,28.855554,0.463979,0.384593,0.358821,1849.108292,0.100929,0.109544,0.140628,2.974550,0.146427,0.142603,0.146334,3.955091,0.120912,0.202950,0.250857,7.016812,0.086103,0.128151,0.153028,10.141036,0.182643,0.195530,0.233862
2019-12-31,56.753753,0.153559,0.242010,0.338832,27.423951,0.382433,0.392421,0.363483,1914.412077,0.078069,0.092261,0.124997,3.147012,0.153200,0.142493,0.146769,4.019971,0.118630,,,7.532941,0.088082,0.094739,0.139246,10.468468,0.194837,,
2020-01-31,47.927950,0.286442,0.261761,0.334004,23.525786,0.278742,0.361668,0.356176,2000.686568,0.109581,0.099973,0.115202,2.834492,0.171738,0.164957,0.156294,3.965472,0.216257,,,6.876960,0.104456,0.107592,0.128211,10.356205,0.165134,,
2020-02-29,41.836639,0.367787,0.291054,0.342252,21.408828,0.382859,0.347807,0.364310,1992.536136,0.183250,0.129025,0.119610,2.877935,0.145629,0.163354,0.152792,3.770539,0.123530,0.158958,,6.958808,0.079220,0.104650,0.116471,9.814192,0.228641,0.196068,
2020-03-31,18.357968,1.482636,0.915564,0.687582,20.223015,0.556815,0.426990,0.408795,1979.732086,0.395380,0.261954,0.196475,2.501952,0.418596,0.279836,0.225614,3.499204,0.242903,0.204912,,6.902296,0.213384,0.145260,0.124209,10.608296,0.319071,0.244602,
2020-04-30,12.119317,2.175232,1.536370,1.104389,21.761349,0.758713,0.589721,0.490669,2107.249893,0.265627,0.295570,0.219677,2.657195,0.243403,0.302070,0.242099,3.215317,0.218179,0.207559,,6.611015,0.130252,0.158445,0.134976,9.790402,0.222371,0.266378,
2020-05-31,19.448172,0.825024,1.624637,1.163832,18.145427,0.587715,0.639528,0.513942,2155.167394,0.172682,0.289386,0.227251,2.761787,0.242997,0.320682,0.255389,3.278264,0.141447,0.206969,0.189125,6.497032,0.140838,0.170008,0.141061,9.752999,0.204417,0.257499,0.226718
2020-06-30,21.675424,0.444553,1.279478,1.176309,16.456384,0.508260,0.607404,0.535258,2235.367790,0.148103,0.194452,0.231451,3.069909,0.232805,0.228225,0.266628,3.375510,0.232978,0.199966,0.204674,6.832142,0.097092,0.125288,0.140563,9.092148,0.216351,0.209623,0.232730
2020-07-31,21.979870,0.251182,0.466796,1.175428,16.658190,0.535971,0.504281,0.563477,2453.173494,0.120473,0.146316,0.234170,3.209280,0.180549,0.214738,0.262108,3.165329,0.211307,0.207942,0.208981,6.983448,0.116901,0.117558,0.142682,9.803266,0.325967,0.256184,0.260476
